"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000024331.11",737.996401525055,5.56094943680318,0.219976472605298,25.2797463789736,5.33535817937466e-141,2.85652268840467e-138
"ENSMUSG00000031297.14",808.750367508562,3.9139071633131,0.154981372246821,25.2540489645418,1.02232428466184e-140,5.33312501831926e-138
"ENSMUSG00000018166.8",702.070665657319,6.82183946736258,0.270588946620476,25.2110795823852,3.02830806340075e-140,1.54027318874721e-137
"ENSMUSG00000020911.14",1716.03871151496,3.63001878593594,0.144195657486325,25.174258706648,7.66816398132589e-140,3.80509259024574e-137
"ENSMUSG00000022218.15",1252.4594183749,8.55555071758202,0.341131640246525,25.0799096542297,8.2395998210326e-139,3.99130138949782e-136
"ENSMUSG00000074227.12",757.142522263492,3.90787133403478,0.155991646123055,25.0517988056363,1.66880375524398e-138,7.89577032568345e-136
"ENSMUSG00000018849.6",1066.06228462457,3.63799507776266,0.145822138482767,24.9481671001045,2.23545536730774e-137,1.03364407836082e-134
"ENSMUSG00000061126.4",1022.63794496563,8.05923243185008,0.323802693841573,24.8893310189483,9.70770661722247e-137,4.38896202505313e-134
"ENSMUSG00000074272.10",530.814246654565,4.94836142690436,0.199071596655812,24.8571946477122,2.16183898946299e-136,9.56143787839664e-134
"ENSMUSG00000030494.13",534.448051073048,5.79188585308218,0.23659684484782,24.4799792525025,2.41387035822845e-132,1.04489771145016e-129
"ENSMUSG00000026479.13",666.778238939837,3.26787748593325,0.135379968166497,24.1385600114357,9.84660212168415e-129,4.17352333678467e-126
"ENSMUSG00000019866.14",1656.72054587445,2.95697225514222,0.122632883624616,24.1123927591365,1.85321080326493e-128,7.69460689641327e-126
"ENSMUSG00000035557.9",5652.82256140818,11.8840647597588,0.493695867904512,24.0716310027074,4.95619626402154e-128,2.01667625983036e-125
"ENSMUSG00000026639.18",434.22142988672,4.27013177363839,0.1778329982526,24.0120327250679,2.0820972509673e-127,8.30593501390781e-125
"ENSMUSG00000038807.18",1123.58921744872,2.96968226275377,0.124004960192474,23.9480925452046,9.67284421704126e-127,3.78450029991739e-124
"ENSMUSG00000029019.8",424.759394177817,5.45192506294315,0.228380995040288,23.8720610792566,5.9764357298112e-126,2.29416197967941e-123
"ENSMUSG00000056413.16",488.724438853957,5.9452437669803,0.254201677367747,23.3879014038899,5.67460020982609e-121,2.13795817164652e-118
"ENSMUSG00000024011.16",448.459250892501,5.31915177287214,0.227758181423015,23.354382879414,1.24384849800711e-120,4.60110867126447e-118
"ENSMUSG00000015468.14",471.688005523098,5.9915496430005,0.256735252812492,23.3374636999169,1.84767140969479e-120,6.7126562196858e-118
"ENSMUSG00000005968.14",904.55845928025,2.83315025928999,0.122519336535739,23.1241070952385,2.649439254035e-118,9.45663888128807e-116
"ENSMUSG00000046410.10",441.546634804085,4.27063091594338,0.18476013991686,23.1144602827488,3.3127912954629e-118,1.16204722252056e-115
"ENSMUSG00000041607.16",443.711469138843,5.01795313901941,0.217535897121596,23.0672417997042,9.87635370383091e-118,3.40566806956678e-115
"ENSMUSG00000063011.6",8343.50264377228,1.93188166330522,0.0840094286396678,22.9960100263439,5.11012098667477e-117,1.72617100981873e-114
